dataset,method,seed,interval_score
gefcom2014,DeepEnsemble,0,18.47053575246815
gefcom2014,DeepEnsemble,1,19.65483639731583
gefcom2014,DeepEnsemble,2,19.15299115509894
gefcom2014,DeepEnsemble,3,22.873058998951944
gefcom2014,DeepEnsemble,4,18.5845843525719
gefcom2014,GRU+CP,0,19.89179553320986
gefcom2014,GRU+CP,1,20.348425193937626
gefcom2014,GRU+CP,2,18.814000918137953
gefcom2014,GRU+CP,3,19.908030806027156
gefcom2014,GRU+CP,4,18.94139049551722
gefcom2014,MCDropout,0,44.268496749613135
gefcom2014,MCDropout,1,45.29878334129193
gefcom2014,MCDropout,2,45.253699922137564
gefcom2014,MCDropout,3,44.05522957924907
gefcom2014,MCDropout,4,42.364917429946765
opsd,DeepEnsemble,0,582.4143681557989
opsd,DeepEnsemble,1,595.4644070919145
opsd,DeepEnsemble,2,594.8227337819656
opsd,DeepEnsemble,3,599.2261113320137
opsd,DeepEnsemble,4,581.0368798657992
opsd,GRU+CP,0,605.3592705082038
opsd,GRU+CP,1,642.2729328365899
opsd,GRU+CP,2,619.5488626753829
opsd,GRU+CP,3,604.451118761797
opsd,GRU+CP,4,622.1305285240433
opsd,MCDropout,0,933.6301078253329
opsd,MCDropout,1,940.6464375884691
opsd,MCDropout,2,918.8041165827992
opsd,MCDropout,3,984.0444679605836
opsd,MCDropout,4,948.0185739368155
